requireID,triggerName,fromStage,toStage,condition,keyActions,questDescText,questMsgText,dialogPreview,enabled
300000,JLC精灵村001,*,,"RectContainsLoc( gg_rct______________077, YDLocal1Get(location, ""单位位置"")) == true)",自动提取阶段块,,"|cffffff00『系统提示』：|r|cffff0000前往长老房间与长老对话！（小地图闪光处）|r","1. 自然守护者：站住，说出来意，已经很久没有生灵从正门来村子了。\n2. 自然守护者：确实是帝国勋章，与典籍中所绘的一样。见过帝国使者，我马上开门，各位请进，族长的房子就在|cffffff00村子北部|r",TRUE
300001,JLC精灵村001,1,1,"YDUserDataGet(string, ""剧情进度"",""整数"", integer) < 1) and (IsUnitInRange( GetTriggerUnit(), YDUserDataGet(string, ""主线NPC"",""精灵村长老"", unit), 800.00) == true) and (IsUnitInGroup( GetTriggerUnit(), YDUserDataGet(string, ""玩家英雄"",""单位组"", group)) == true)",自动提取阶段块,前往北方『地精领地』查明事情真相,"|cffffff00『系统提示』：|r|cffff0000前往村子北方地精处！（小地图信号位置）|r","1. 精灵村长老：各位帝国的使者，欢迎你们光顾西里尔村，不远千里前来，我就开门见山的问了，各位有什么需求呢。我等虽然落魄，但仍遵循着先祖的教导，会全力协助各位的。\n2. 精灵村长老：果然是因此事，老朽也预感帝国会派人前来调查。各位可否把|cffffff00『帝国勋章』|r借我查验一下真假，事关重大，不得不小心这种动荡时代不安分之人\n3. 精灵村长老：赛利尔救世者的光辉，在此交相呼应展现光芒。\n4. 精灵村长老：.....我已经用血脉咒语验证过，勋章确实与我们所存信物相呼应\n5. 精灵族长老：实不相瞒各位，现在西里尔虽然全力帮助各位，但是实在|cffff0000缺少必要的条件|r\n6. 精灵族长老：十分抱歉各位，西里尔一脉如今人脉凋零的太过严重，不然也不会迁居如此偏远的地方。如今族内已经没有能不依靠外力就解除钥匙封印的人了，在下已经是族内对于精灵术法最强的人了，即使如此也需要借助|cff99ccff『魔力源石』|r才能打开封印。此物只有在|cffff6600『东部沙漠』|r中可以开采出来。并且如今西里尔村也有很多麻烦，最近附近的|cffff0000『地精一族』|r实力莫名其妙的增长，频频袭击我们的采集队伍。我们也实在没有精力再去购买|cff99ccff『魔力源石』|r\n7. 精灵族长老：地底封印的位置我族也没有强大的祭祀可以算出，如今只有克林姆德一脉可以做到了。\n8. 精灵族长老：|cffff0000『地精一族』|r是很久以前就与我们共同居住在森林的种族，一直和睦共处也互不侵犯，最近不知为何，地精一族十分狂暴，并且总体实力也上升了不少。我们之间的实力平衡完全被打破，我们最近只有加强村子的防守，根本无法出去采集物资。可笑我们西里尔一脉当年身为精灵族两大王族，如今沦落至此，实在是愧对先祖\n9. 精灵族长老：各位愿意帮我们解决生存问题，实在是感激不尽，这里有附近森林的地图与一些补给，就赠与各位。东部地区的森林有一些史莱姆，可以掉落很多装备制造的材料，我们如今没有精力去收集材料，各位如果有的话，可以给我们村里的铁匠打造一些装备。。祝你们顺利。",TRUE
300002,JLC精灵村001,*,,"YDUserDataGet(string, ""主线剧情"",""跳过"", boolean) == true)",自动提取阶段块,,,,TRUE
300003,JLC精灵村001,1,2,"YDUserDataGet(string, ""剧情进度"",""整数"", integer) == 1) and (RectContainsLoc( gg_rct______________020, YDLocal1Get(location, ""单位位置"")) == true)",自动提取阶段块,,,"1. 系统：在地精洞窟深处....（5秒按ESC可跳过）",TRUE
300004,JLC精灵村001,2,3,"YDUserDataGet(string, ""剧情进度"",""整数"", integer) == 2) and (GetOwningPlayer( YDUserDataGet(string, ""Boss"",""地精巫师"", unit)) == Player(PLAYER_NEUTRAL_PASSIVE)) and (IsUnitAliveBJ( YDUserDataGet(string, ""Boss"",""地精巫师"", unit)) == true) and (IsUnitInGroup( GetTriggerUnit(), YDUserDataGet(string, ""玩家英雄"",""单位组"", group)) == true) and (IsUnitInRange( GetTriggerUnit(), YDUserDataGet(string, ""Boss"",""地精巫师"", unit), 755.00) == true)",自动提取阶段块,,,"1. ？？？：哦？居然有其他种族的人进来了\n2. 地精巫师：嘶嘶哈哈，哪有如何，你也会成为我的祭品！",TRUE
300005,JLC精灵村001,4,5,"YDUserDataGet(string, ""剧情进度"",""整数"", integer) == 4) and (IsUnitInRange( GetTriggerUnit(), YDUserDataGet(string, ""主线NPC"",""精灵村长老"", unit), 800.00) == true) and (IsUnitInGroup( GetTriggerUnit(), YDUserDataGet(string, ""玩家英雄"",""单位组"", group)) == true)",自动提取阶段块,穿过东部巨石山谷前往沙漠寻找能源水晶,"|cffffff00『系统提示』：|r穿过东部|cffff9900『巨石山谷』|r前往沙漠寻找|cffcc99ff『魔力源泉』|r（小地图信号位置）","1. 精灵村长老：多谢各位帝国使者，这样我们暂时不会有灭族之祸了，各位救我族于水火之中，不管各位使者因何而来，西里尔一族也要在此献上一份报答之礼。此物是我族当年穿行沙漠地区所用的宝物，可在沙漠中获得强大的环境亲和力，可惜如今我族虽有此物，但是实力实在不允许去沙漠冒险了，就当做礼物赠与各位把。",TRUE
300006,JLC精灵村001,5,6,"YDUserDataGet(string, ""剧情进度"",""整数"", integer) == 5) and (RectContainsUnit( gg_rct______________098, GetTriggerUnit()) == true)",自动提取阶段块,主线目标：在聚集地中寻找魔力源石的消息,"|cffffff00『系统提示』：|主线目标，在聚集地中寻找|cffcc99ff『魔力源石』|r的消息",,TRUE
300007,JLC精灵村001,6,6,"YDUserDataGet(string, ""剧情进度"",""整数"", integer) == 6) and (IsUnitInRange( GetTriggerUnit(), YDUserDataGet(string, ""主线NPC"",""沙漠年轻佣兵"", unit), 450.00) == true) and (GetOwningPlayer( YDUserDataGet(string, ""主线NPC"",""沙漠年轻佣兵"", unit)) != Player(6))",自动提取阶段块,主线目标：继续在聚集地中寻找|cffcc99ff『魔力源石』|r的消息,"|cffffff00『主线目标』：|r在聚集地中寻找|cffcc99ff『魔力源石』|r的消息","1. 年轻佣兵：|cffcc99ff『魔力源石』|r？哦，，好像是有这种东西，但是我也从来没有见过啊，毕竟我到这里也没有几年，如今这东西好像越来越稀有了",TRUE
300008,JLC精灵村001,6,6,"YDUserDataGet(string, ""剧情进度"",""整数"", integer) == 6) and (IsUnitInRange( GetTriggerUnit(), YDUserDataGet(string, ""主线NPC"",""沙漠年长者"", unit), 450.00) == true) and (GetOwningPlayer( YDUserDataGet(string, ""主线NPC"",""沙漠年长者"", unit)) != Player(6))",自动提取阶段块,主线目标：前往聚集地东南部寻找情报商人,"|cffffff00『主线目标』：|r前往|cffff0000聚集地东南部|r寻找|cffffff00『黑商』|r（小地图信号处）","1. 年长者：|cffcc99ff『魔力源石』|r啊，十几年前我刚接手我父亲的生意的时候还经常遇到的，如今沙漠魔物横行，很多|cffcc99ff『魔力源石』|r早就被消耗掉了，采集也越来越不容易，已经很久没有见到了，不过你可以去问问|cffffff00『情报商人』|r，他干|cffffff00卖情报|r的活，毕竟稀罕玩意的情报，总能卖个好价钱。他就在|cffff0000聚集地东南部|r摆摊呢",TRUE
300009,JLC精灵村001,6,7,"YDUserDataGet(string, ""剧情进度"",""整数"", integer) == 6) and (IsUnitInRange( GetTriggerUnit(), YDUserDataGet(string, ""主线NPC"",""沙漠情报商人"", unit), 450.00) == true)",自动提取阶段块,主线目标：前往|cffff9900『蛇人族领地』|r询问|cff00ff00『夜光翡翠』|r消息。,"|cffffff00『主线目标』：|r前往|cffff9900『蛇人族领地』|r询问|cff00ff00『夜光翡翠』|r消息。（小地图信号处）","1. 情报商人：嘿嘿，几位的穿着不像是长居沙漠的人吧，各位有所不知，|cffcc99ff『魔力源石』|r，现在可是稀罕货啊，别说在市面上看到了，很多近些年来聚集地的年轻人恐怕都只是听说而已喽。怎么，各位急需这东西？\n2. 情报商人：各位不用掩饰了，你们打探的时候我的眼线已经注意到了，现在沙漠的魔物数量，肯从外面来，还只是为了打听这种东西的，恐怕不只是顺路吧....不过我也不瞒各位了，|cffcc99ff『魔力源石』|r，我恰好知道来路，各位不知是否有意啊。\n3. 情报商人：各位只要拿一块同样大小的|cff00ff00『夜光翡翠』|r来和我换就行了。据我所知，|cffff0000沙漠东北部|r的|cffff9900『蛇人族』|r刚好有。如果各位能拿来，我马上就能让人找到|cffcc99ff『魔力源石』|r来交换怎么样\n4. 情报商人：各位有所不知道，如今这|cffcc99ff『魔力源石』|r当真是稀罕物，这代|cffff9900『蛇人族』|r出了一个绝世强者，为了让血脉与实力更进一步，那可是抢了沙漠中几乎所有的|cffcc99ff『魔力源石』|r储存，并且以当时的|cffcc99ff『魔力源石』|r矿脉为引布置了十分强大的阵法想要强行进化本体，就是不知结果怎样。反正如今的|cffff9900『蛇人族』|r已经低调了很多，那位高手再也没出现过，要不是|cffff9900『蛇人族』|r本身实力不差，其他人早就把他们的地盘掀了。但是就因为这事，沙漠中|cffcc99ff『魔力源石』|r近乎绝迹，偶尔才能挖到一点，要|cff00ff00『夜光翡翠』|r，也不算亏待你。\n5. 情报商人：嘿嘿，各位可能想错了。|cff00ff00『夜光翡翠』|r嘛，|cffff9900『蛇人族』|r又不是仅此一块，他们也算古老的种族了，族内积攒的财富不会只有这点的，并且我曾经与|cffff9900『蛇人族』|r进行交易，得知如果付出对应的价值，他们也是愿意交易|cff00ff00『夜光翡翠』|r的，不过当时我是没有那个能力喽。各位怎么弄到我不管，想要|cffcc99ff『魔力源石』|r，就拿|cff00ff00『夜光翡翠』|r来换吧。\n6. 情报商人：各位放心，我的名声，别说聚集地，整个沙漠的种族都是放心与我交易的，我就等各位的结果了",TRUE
